comment,sentimiento,tema
tenemos millones de venezolanos deambulando por todos ladospero un tipo que se sabe comulga con la politica venezolana asesoro a chaves y lo apoyan a ojo cerradoque les pasa,ira,politica
una vez un profe me dijo que me pegara un tiro porque le dije que no creia en la politica venezolana ahora quien es el que se quiere pegar el tiro,ira,politica
el general mata figueroa aprendio de los adecos y copeyanos y en la actualidad se tiene a un sindicalista ignorante sin estudio en la presidencia de la republica peor todavia para la politica venezolana,ira,politica
idem pese a todo sigue siendo una de las muy pocas figuras de la politica venezolana con integridad y principios no se si llena de esperanza dificil ser optimista pero credibilidad tiene,alegria,politica
yo mas bien pienso que en la mud estan peor que el gobierno los cogollos y las tribus todavia reinan en la politica venezolana dejen la manipulacion y el yo pienso xq yo tambien podria pensar que ese grupo radical opositor es financiado por intereses economicos,ira,politica
jajajaja de donde cono sacaran esos eslogan caracas es el cuchitril de america latina que pena la verdad me da la politica venezolana,tristeza,politica
que espectaculo la politica venezolana,alegria,politica
la politica venezolana de partidos de oposicion debe ser la unica en el planeta donde te premian si haces todo mal fracaso tras fracaso y siguen ahi como si nada ni una disculpa por los errores cometidos entonces cuando reclamas y pides cuentas el malo es uno,ira,politica
la coprocracia venezolana ledezma lider indiscutible maria corina la matajari politica y el aguevoneao de guaido incluye a lopez guevara y demas voluntades no encuentran un punto de encuentro como si la encontraron en el 28 y en el pacto de punto fijo coprofagos,ira,politica
si obvio no todos de hecho yo tengo polola venezolana no admira a maduro precisamente pero entiende que los contextos y estructura politica son distintos de que nos podemos ir a la chucha si claro pero eso puede ocurrir con ambas candidaturas,ira,politica
la destructiva y lacerante politica educativa venezolana enmarcada en el paradigma de la mediocridad ya esta produciendo danos significativos egresan certifican con cualquier grado a cualquier participante sin criterios hacen un dano que va sucumbiendo al pais en el atraso,tristeza,politica
que ladilla la politica venezolana mas de lo mismo,ira,politica
terrible la politica del de invisibilizar a la crisis de refugiados venezolana,tristeza,politica
que hizo el interinato para evitar esto es detestable no hacer nada para palear o evitar tanto sufrimiento de los venezolanos las responsabilidad y coherencia ha dejado de ser motores fundamentales de la politica venezolana,ira,politica
en la politica venezolana ya no hay companeros de partido lo que hay es una manada de hienas queriendose comer lo poco que deja el regimen eso es lo que hay aqui si hubiera verguenza en esas personas que estan inhabilitadas no estuvieran postulando,ira,politica
jajajaja chichon de piso uno de los hombres mas fracasados en la politica venezolana ni su familia le cree,ira,politica
lastimosamente en este pais se han criado cuervos durante decadas a nivel de universidad y cultura lo peor no es eso es que se siguen criando en sitios como la ucab ucv y otros la politica y la intelectualidad venezolana esta llena de socialistasy progres pero pocos liberales,tristeza,politica
despues se preguntan por que el ciudadano no confia en la clase politica venezolana,ira,politica
nono fueron mandados por nadaes parte de la sociedad venezolanaesa gente no maneja politicasu proceder es su mal vivir no es necesario pedir disculpasde verdad,ira,politica
callese senor y pongase a trabajar deje de ser un vago mantenido de la politica venezolana,ira,politica
pocos presidentes en el mundo han tenido una politica tan solidaria y exitosa como la que tuvo ivan duque con la migracion venezolana casi 25 millones de venezolanos regularizados en colombia lo demuestran gracias por apostar a la integracion siempre,alegria,politica
que asco todo la politica venezolana no es mas que una gran cloaca,ira,politica
ese senor manejo de manera nefasta la direccion de la oposicion por varios anos y aca estan los resultados lo mismo que chuo torrealba son par de fracasados no deberian tener mas cabida en la politica venezolana,ira,politica
que bueno que pase esto y ojala desenmascaren por completo esa mostruosa estructura que muy seguro sera colombo venezolana ese record de incautacion insinua el crecimiento inmenso de cultivos ilicitos y el aumento de los envios x falta de una politica clara en erradicacion,tristeza,politica
imagina los que tienen que hacer libros de hsito6 para los colegios que desastre va a dar pena explicar la generacion politica venezolana,tristeza,politica
sera que la dirigen cia politica colombiana va a cometer el mismo error de la oposicion venezolana de permitirle el acceso al gobierno a ese resentido social de ser asi pobre colombia se le avecinan tiempos mas desgraciados que despues les va a pesar clncue cia senores,tristeza,politica
que barbaridad senora usted o es enchufada es estupida o las dos cosas anteriores a petro le reconocen el triunfo en un proceso ajustado a derecho maduro es producto de un fraude desde sus inicios en politica venezolana,ira,politica
afirmo la oposicion politica venezolana 19922022 esta nutrida de traidores mercaderes oportunistas y buenos para nada estudien cada nombre su origen y politico reciclando a seguiremos como nicaragua peru chile mexico brasil y colombia,ira,politica
bonitas palabras pero hay 6 millones de venezolanos que no quieren ser martires y prefieren vivir tranquilos pero bueno que sabre yo de politica venezolana y de sus narrativas tenga un buen dia,ira,politica
1926 nace argelia mercedes laya lopez fue una docente activista politica y filosofa venezolana considerada como una de las mujeres mas importantes de la historia de venezuela,alegria,politica
tweet para expresar mi asco hacia la politica venezolana,ira,politica
muy grave aseguran que crisis politica venezolana aumenta el riesgo de lavado de dinero en aruba y curazao,tristeza,politica
quedo sorprendido con las caras nuevas y frescas que coloca la oposicion venezolana para enfrentar al oficialismo sobre todo en zulia y anzoategui gente joven y renovada insisto en politica no hay casualidad ni actos inocentes,alegria,politica
descarados los alacranes topos aranas y buitres que quieren representar a la oposicion venezolana esa fauna politica se equivoco a la oposicion la representa la oposicion renovar la conduccion politica y ratificar la ruta libertaria es la tarea pendiente,ira,politica
lacras socialesdestruyeron la republica y generacionesla vida les pasara factura a la clase politica venezolanapudranse,ira,politica
manana sera el sepelio esa basura de la politica venezolana y como persona desde hace mucho tiempo esta cepultado solo que no acepta que es una escoria de la politica venezolana que se acostumbro a ser un estorbo por dinero y ansias de poder y ser un perdedor arrastrado,ira,politica
ese rio deberia llamarse la politica venezolana porque ninguno sirve es mas el rio se sentiria ofendido por eso mas basura hay fuera que dentro de el,ira,politica
no le pares a esa cuerda de locos que no quieren abrir los ojos y ver la realidad de la politica sucia venezolana,ira,politica
habia libre convertibilidad de la moneda un desastre de politica economica que empezo a liquidar a la economia venezolana y a abrirle todo el espacio a esa inmensa y perversa redistribucion de la riqueza,tristeza,politica
ojala que la mugre de la clase politica venezolana o algunos de sus descerebrados no se les ocurra la maravillosa idea de felicitar a ferdinand marcos jr aunque no se sabe por donde va a saltar la libre con la basura roja psuv o la basura opositora mud mesita et al,ira,politica
es gracioso hace 20 anos los venezolanos me descalificaban por que yo no estaba en venezuela y no sabia de politica venezolana hoy me descalifican los espanoles porque estoy en venezuela y por lo tanto no se de politica espanola,ira,politica
no soy experto en politica venezolana pero se me hace que a guaido se le cayo la pantomima y la gente no lo quiere pero no se es solo una suposicion,ira,politica
dinosaurio de la politica venezolana tanto que hablaban y aparte corruptos hasta decir no mas,ira,politica
ese en realidad no se vendio ya el estado ha vendido o sea el es un vendido de la politica venezolana el esta con quien le de el no haya a que arbol arreguin dar se ni en que arbol guindas porque son seres que toda la vida han vivido de la politica del hambre del pueblo,ira,politica
el senor victor pareciera que cree que la politica venezolana es por medio de twitter al parecer le molesta que la politica toque con las bases por medio de primarias prefiere seguir aqui con su teclado y sus pantuflas,ira,politica
la inmigracion venezolana ha sido manipulada por el neoliberalismo mentiroso y ladron convirtiendola en una herramienta politica de desestabilizacion,ira,politica
no reza por ti y porque el partido conferencia episcopal venezolana regrese a sus templos y abandone la politica conspiradora de lo contrario me proclamo papa y los excomulgo,ira,politica
lo quemaron es el chacumbele de la politica venezolana el mismito se quemo,ira,politica
q te puedo decir tuve una relacion mas de 3 anos con venezolana y conozco su cultura es gente maravillosa y enroquecen el pais pero dejando lo politica correcto es verdad q les falta respeto y convivencia para vivir en comunidad vivan las venezolanas fuera los venecos,ira,politica
que cosa tan asquerosa es la politica venezolana,ira,politica
son unos cara de tablas parasitos son el cancer de la politica venezolana,ira,politica
que mal posicion este individuo no tiene nada que buscar en la politica venezolana,ira,politica
buen dia cafe retuiteando y leyendo la prensa venezolana noticias 30072022 politica lucha por el oro economia resucito repsol social trata de personas si a la paz saludos cordiales,alegria,politica
a quien cono le importala clase politica venezolana de pana no tiene en lo absoluto que ver con nuestra realidadlos tipos estan metidos en su burbuja de conseguir unos carguitos pero pana no sean boletas,ira,politica
a veces nos quejamos de la politica venezolana y la eternidad en la que han querido estar en el poder pero tambien es muy triste que ese mal se apodero hace mucho de las autoridades deportivas muchos anos la misma gente haciendo lo mismo con los mismos resultados,tristeza,politica
mas claro imposible el escrito de a los payasos de la politica venezolana y a sus focas que le aplauden todo hay que darles duro,ira,politica
para la nueva elite politica e intelectual venezolana todo es un montaje querer el pais no es invisibilizar los terrores que vive las poblaciones,ira,politica
lo miserables de venezuela es el satan de la politica venezolana,ira,politica
puro gamelote es usted un claro ejemplo de la descomposicion politica venezolana el 80 rompio filas con estos traidores vamos bien,ira,politica
para mi venezolano tambien es sorprendente tengo dias tratando de explicarmelo creo que el trauma es un factor importante pero ademas hay falta de conocimiento sobre el fondo historico de la propia crisis venezolana falta de cultura politica y ciudadana,tristeza,politica
la verdad sea dicha a ninguna politica venezolana le he visto esa formacion y ese saber estar y conducirse con excepcion d mercedes pulido de briceno no recuerdo ninguna otra de la 4ta obviamente porque de 1998 para aca pura perdida que pena dan esas mujeres vale,tristeza,politica
la libertad y la democracia asentadas sobre la base de la justicia y los grandes valores son inconmovibles descubramos nuevamente esos grandes valores poniendolos a disposicion del pueblo venezolano que ansia ver espiritus elevados y no almas errantes en la politica venezolana,tristeza,politica
la politica venezolana no puede seguir siendo un pacto patriarcal espacios de decision y negociacion sin mujeres partidos politicos que ignoran denuncias de acoso por parte de sus militantes ninguna estrategia para la impulsar la paridad,ira,politica
la clase politica venezolana es asquerosa da nauseas,ira,politica
sin guaidonadas guaidiotas estas mamarracho de la politica y opodrision venezolana ya no consiguen en q palo ahorcarse x dios yo les pregunto cuales expertos los de juanito alimana alias guaidiota esos expertos son los q piden vigilancia epidemiologica,ira,politica
oposicion politica venezolana son es unos cobardes y delincuentes y el nacional es otro medio que se encargar de desinformar y difamar,ira,politica
en los hermanos que suenan con regresar a su patria a ayudar a construirla y a hacerla prospera no se puede pensar en aspiraciones con mezquindades queriendo ser el inquisidor impoluto de la politica venezolana urge remoralizar la politica y renovar la dirigencia,ira,politica
tampoco yo tengo en alta estima a la oposicion politica profesional venezolana aja pero mas alla de los comunicados y batallitas de microfono que nunca llegan a nada que deberia hacer lanzar misiles directos desde roma madrid weston coral gable a moscu haganlo uds,ira,politica
todo esto es una organizacion terrorista que tienen como objetivo principal la politica contra el gobierno de venezuela ya no tienen moral para estas estupideces utilizando a los migrantes para sus intereses politicos y economicos de esta oposicion venezolana dan asco todo esto,ira,politica
ojala pero creo que no ya los chavista se llaman al silencio los de oposicion son rejaladores de mecate de la oposicion y somos pocos que queremos hacer un nuke en la politica venezolana puros dinosaurios politicos gente vieja mamerta y chorra,ira,politica
que lata era una fiel seguidora pero estan demasiado polarizados parecen programa de tv publica venezolana esta bien que tengan una clara inclinacion politica pero lo que hacen es asqueroso,ira,politica
buenos dias mamando y lococaferadio rumbos retuiteando y leyendo la prensa venezolana noticias 11112021 politica alex saab economia industrial textil buhonera social gremio rumbero alzado saludos cordiales,alegria,politica
buena noche don pedro muy atento a sus clases magistrales de teoria politica aplicada a la realidad venezolana gracias por su analisis saludos,alegria,politica
al fin un rostro fresco en la politica venezolana,alegria,politica
en mi humilde caso yo hace rato que bote la toalla con la politica venezolana me concentro solamente en realizar lo que fundamentalmente es mi tarea ciudadana echarle mierda a las porquerias que quebraron a venezuela es decir al chavismo,ira,politica
embustero con tu twitter solo buscas atencion los vzlanos que estan afuera le estan echando una y parte de la otra para enviar remesas a familiares y tratar en lo posible aliviar el sufrimiento diario producido por toda la clase politica venezolana psuv y oposicion,ira,politica
ok mas facilidad con el 4x1000 mano de otra venezolana en exceso politica fiscal mas exigente alcaldes progresistas enemigos del emprendimiento educacion secuestrada por el globalismo farc gobernando la verdad no encuentro las mejoras dame luces,ira,politica
a este bobo no le dara pena mucho de la tragedia venezolana tiene que ver con esa oposicion floja y mediocre y con una clase politica no corrupta que decidio abandonar el barco para irse a la florida,ira,politica
la politica venezolana es una soberana mierda,ira,politica
lo mas bello del universo de chacao y de la politica venezolana irene saez conde,alegria,politica
falso se la dedico a chavez a quien admiro por su gran labor d fomentar el deporte parabras mas palabras menos yo siento alegria para su triunfo y porque es venezolana no me importa su preferencia politica cada quien con su peo mental yo amo el deporte si no entendio triste,alegria,politica
creo que olvidaste la historia reciente de la politica venezolana chuo torrealba fue uno de los artifices del ultimo gran exito de la oposicion ese que le arrebato de la boca el cadaver de la oveja muerta al lobo y henry ramos con soberbia y pantalleria lo tiro a guaire,ira,politica
este esta lokojamas como venezuela si te gusta la politica venezolana largate y nacionalizate veneco y no nos jodas,ira,politica
asi de grave y desorbitada sigue la derecha venezolana que a poco menos de 30 dias para un nuevo proceso electoral clave tiene que usar el caso de alex saab un secuestro del imperio arbitrario ilegal y brutal para hacer campana politica contra el gobierno,ira,politica
como haya intervencion de manos extranjeras en nuestra politica nacional se las vamos a cortar sean estas de la violencia cubana venezolana colombiana ecuatoriana o foro de sao paulo le tomaremos cuentas en serio somos peruanos,ira,politica
aja y a quien carajo le importa lo que piense una ex diputada venezolana de lo que haga argentina con su politica exterior claro me olvidaba que este medio funciona como boletin oficial de las embajadas yankys e israelies y ellos son veladores del fantasma guaido,ira,politica
nmj ya salio el primer critico superdotado y sabiondo de la politica venezolana a ver quien mas anden no se queden callados la getica a ver a ver quien dijo yo que belleza de estupidos twiteros estos conocedores de todo pero de todo todo nmj,ira,politica
la mafia delincuencial chotana compro concienciastopos en el congreso cuidado asi empezaron en venezuela impusieron su asamblea constituyente y todos sabemos la historia venezolana defendamos la libertad y democracia las calles nos esperan insurgencia ya,tristeza,politica
las mujeres jovenes son mas invisibilizadas en la politica existe sobre todo en america latina una hipersexualizacion y estigmatizacion contra la mujer migrante venezolana que es una forma de violencia contra ellas,ira,politica
hola me dirias porque dices esto no entiendo de politica venezolana y no de si ganaron buenos personas que se hacen llamar opositores y son prodictadura o no se ayuda,ira,politica
la clase politica de lo que hoy se hace llamar izquierda en funciones de gobierno el presidente nicolas maduro opto por la burguesia venezolana en detrimento del pueblo pobre de venezuela es una aventura infeliz pretender elevar al presidente maduro al nivel moral y sigue,tristeza,politica
hermano lamento decirle que sien efecto tengo muchos amigos y amigas que estan en la politica venezolana pero yo no vivo en el pais aun asi viajo este viernes a ejercer mi derecho al voto no puedo llamarme oposicion si no me opongo a nada yo no me quedo en la queja,ira,politica
jejeje mira quien aparecio la mal nacida hija del alacran bernabe gutierrez la rata mas grande que tiene la politica venezolana pagaran,ira,politica
yo creo que moises naim es guaidolover desde hace rato no se mucho sobre el pero me da un aura a politica venezolana come flor de los 90,alegria,politica
de verdad q eso es una atrocidad debe ser eliminado de la politica venezolana es una aberracion para elector ya q salen unos personajes q ni en sueno se votarian por ellos,ira,politica
venciendo desde hace rato no ves que desde hace 20 anos lo unico que has podido acumular son derrotas y frustraciones oh acaso no ves en lo que quedo la oposicion venezolana asi son los pocos que quedaron con esa clase politica en la mediocridad hagale que ban mui viem,ira,politica
sin duda tiene una estrategia politica ve las elecciones dl 21n como un momento para movilizarorganizar a la sociedad venezolana y asi ir por la recuperacion definitiva d la democracia exito,alegria,politica
que bajo nivel la politica venezolana,ira,politica
caleca tiene el pulso de la politica venezolana me agrada coincidir con tus apreciaciones politicas sin haber conversado o visto durante tantos anos saludos rafael,alegria,politica
injusticia innoble 27 la cancilleria venezolana envio una nota al sec de la onu antonio guterres informando la condicion de diplomatico alex saab y lo ilegal d su extradicion a usa lo q demuestra el nivel de persecusion politica impulsada por ese pais,ira,politica
muy lamentable que esta sea la posicion de una mujer en la politica venezolana cero escucha cero conexion con la realidad cero inclusion cero consenso este camino es largomuy largo,tristeza,politica
pero una vez mas la estafa opositora venezolana se apega al discurso oficial y a la politica del regimen y senala a los eeuu como los causantes de nuestra actual condicion lo mas triste es que una vez mas se saldran con la suya y una vez mas nos toca pagar los platos rotos,tristeza,politica
los zurditos de la politica y del periodismo 90 odian visceralmente a la policia argentina si fuera cubana o venezolana es otra cosa chico,ira,politica
que bolas marico pa lo que quedaron en la politica venezolana,ira,politica
tales resultados son culpa de guaido y su clan ellos le mancharon la imagen a la oposicion democratica de la politica venezolana,ira,politica
es claro y evidente que los unicos arrastrados en la politica venezolana son ustedes los de la oposicion oh no te das cuenta en donde y como viven estos sujetos que se definen patriotas y se venden al mejor postor para muestra un boton toma toma toma toma pa que seas cerio,ira,politica
vaya un reconocimiento especial de toda la ciudadania y la clase politica venezolana para por la humildad y entrega demostrada sin duda alguna un caballo,alegria,politica
y al final del dia que arraigada esta maria corina con los dinosaurios socialistas de la politica venezolana nunca cortara ese cordon umbilical,ira,politica
por favor y sobretodo diosdado que parece un jeque arabe de todo lo que ha robado y el nepotismo a millon en su familia casi todos estan metidos en el gobierno sin nombrar al mocho mas ladron que ha pasado por la politica venezolana david cabello demas de descaro,ira,politica
que a estas alturas un impresentable como rosales sea la esperanza de los zulianos es muestra de lo nauseabunda que es la clase politica venezolana,ira,politica
alex no opines de la politica venezolana dejanos eso a los venezolanos te necesitamos para que vuelvas y muestres al mundo las bellezas de nuestro pais y para esos debes entrar y salir sin ningun problema saludos,tristeza,politica
si freddy guevara fue detenido y liberado sin mas les hago la siguiente pregunta habian fundamentos para la detencion de guevara si era asi la justicia venezolana es chatajeable y nada imparcial de no haber fundamentos su detencion fue meramente politica,ira,politica
como les encanta evadir su responsabilidad porque la migracion venezolana se ha dado tambien gracias a q sabemos q toda la dirigencia politica opositora forma parte del regimen y por ello nunca ha estado en sus planes sacarlos del poder,ira,politica
ese pana es un personaje jajajaja que asquerosa es la politica venezolana,ira,politica
escuchen y observen a este tremendo ilusionistamitomano al manipulador de masas que jamas hayamos visto en nuestra politica venezolanaal hombre que el pueblo lo tomo como un mesiasun salvadory lo unico que hizo fue poner la gran tortaes decir la gran cagadahambre y miseria,ira,politica
definitivamente en la oposicion venezolana no hay madurez politica y mientras no se reorganizan los partidos politicos el gobierno no tiene oposicion en la oposicion se hacen oposicion entre ellos mismo y no es justo ni es humano que pague los que menos tienen,ira,politica
empatia necesitaba el pueblo cuando este nuevo rico de la politica absurda venezolana se vendio en negociaciones y no llamo a una intervencion a tiempo pffffff,ira,politica
lamentablesoy venezolaname alegre por la medalla de su cliclista pajonigual ocurrio con nuestro medallista juliolo insultaron y mandaron a meterse la medalla en el culporque expreso simpatia con chavezque carajo importa su posicion politica represento al pais y gano,ira,politica
soy venezolano de nacimiento y vivo en venezuela conozco y padezco las necesidades de todos los que no vivimos de la sucia politica tercer mundista y mas la venezolana que siempre esta prendida la fabrica de pobres a costillas de sus politicos que se hacen ricos de la nada,ira,politica
tantas otras cosas con importancia para legislar para utilizar el tiempo en esa estupidez que desgracia que gobiernos de otros paises esten perdiendo el tiempo para encaminar a sus naciones a la desgracia politica como la venezolana,tristeza,politica
toda la clase politica reclama prevencion y gasto contra los incendios donde estaban y q decian en enero cuando hay q hacer estas cosas y cuando se reparten 20 mil mill al feminismo decenas de mill a una aerolinea venezolana millonadas a partidos sindicatos actores,ira,politica
si se gana y se presiona puede que no pase nada eso agravaria la percepcion derrotista de la gente ilusionar para no cumplir una constante en la politica venezolana en los ultimos anos y que ha generado la apatia y escepticismo del que habla,ira,politica
de los mas pintorescos que ha parido la politica venezolana de los ultimos anos,tristeza,politica
kni modo la institucion politica que tenemos hoy por ahora ha demostrado en 22 anos que no es apta para administrar gobernar esta sociedad venezolana carecemos ahora de organizacion de direccion y orden,tristeza,politica
guaido no ha arriesgado nada y bastante que se ha enriquecido y muy por encima de guaido esta el pais guaido es un estorbo que debe desaparecer de la politica venezolana,ira,politica
que quieren empezar a aplicar su politica venezolana el peru es un pueblo trabajadorqueremos estabilidad y trabajo y dejen de joder con tanta politica comunistay dejen de estar haciendo desestabilizando al pais,ira,politica
en la politica venezolana no existe un partido de que una u otra manera no haya negociado para existir a costa de lo q deberia ser su verdadero objetivo que es salir del gobiernoes un solo bando que simula pelear para seguir mandando y los demas que se jodan asi o mas claro,ira,politica
yo no me alegro de esta fotome da mas bien tristeza que una venezolana que se hizo de una profesion digna como lo es el periodismo pase pena por su ideologia politica quiere ser politica que lo sea pero cubrirse en el periodismo para hacer politica eso no se hacepago por eso,tristeza,politica
en venezuela los jueces no tienen libre alberdrio ahora si yo fuera juez te aseguro que lo declaro culpable no tengo dudas que es un corrupto y mosca si no esta incurso en lavado de dolares amigo en la politica venezolana no hay un hueso sano,ira,politica
si el falsario y prostibulario superlandro tuviera un poquito de verguenza despues del vergonzoso incidente en la frontera colombovenezolana se hubiera retirado de la politica pero el tipo ahi sigue cero verguenza cero etica,ira,politica
la realidad q la mayoria dl pueblo entendio es q hay algunos politicos para quienes la politica no es servir al pais sino todo locontrario servirse del pais manejando la politica como un gran negocio ellos en la crisis venezolana descubrieron la gallina d los huevos de oro,ira,politica
mientras no rechacemos a esa parranda se corruptos hampones saqueadores de la vida politica venezolana seguiran ayudando a destruir a venezuela ellos son colaboradores del regimenque otra prueba le falta hay leer hay que indagar hay que informarse para no caer por inocente,ira,politica
es cierto que no sirve para un caraj0 pero nos tiene con los pantalones abajo desde hace 10 anos nadie entiende como un conductor de autobus iletrado y reposero ha podido con los profesionales universitarios mas destacados de la politica venezolana o son igual de ineptos,ira,politica
si regresas al tema te volveremos a leer no queremos que te alejes del principal problema de los que viven ahi la crisis politica venezolana yo deje de opinar de venezuela hace rato ya que la verdad no entiendo lo que pasa,tristeza,politica
hola aurora lo dicho todos mis textosvideos buscan comunicar una sola idea el comunismo mata el castrochavismo mata lopezobrador mata morena mata lopez busca imponer una politica similar a la venezolana mexico ya sufre las consecuencias saludos,tristeza,politica
el regimen no juega limpio imagino que habla de la clase politica venezolana en su totalidad porque ambos son la misma mierda como la que leopoldo castillo ha representado por anos,ira,politica
bueno con el pelo color chicle cantando y las tetas al aire se logro mucho mas que tu con tus videos gritando y tu falsa politica quedaste en el olvido de la sociedad venezolana y ahora solo te limitas hacer tweets donde solo dejas claro tu ignorancia solo digo,ira,politica
hace 67 anos en sabaneta de barinas nacio el hombre que cambiaria la historia politica venezolana del siglo 20 cuanto te extranamos comandante pero aca seguimos resistiendo los embates de los enemigos de nuestra revolucion,alegria,politica
la clasica foto de la miserable clase politica venezolana,ira,politica
pase de ser opositora al chavismo a ser opositora de la politica venezolana en todo su esplendor,ira,politica
quedaras manchado de por vida como traicionero y vende patria resultaron ser lo peor de la politica venezolana ya ni lastima dan,ira,politica
cual sera ahora el cuento que james story le echara a la oposicion venezolana despues de reunirse con alguien que politicamente no reconoce el politica exterior los gringos tienen una historia larga de estupideces muy peligrosas,ira,politica
partidos como pcv y otros forman parte de la miseria sociopolitica que ha sufrido vzla en todos estos anos siglo xx todo lo que va del siglo xxi y estan condenados a desaparecer y desdibujarse de la sociedad venezolana por incompetentes y falangistas de oficio,ira,politica
bufones de la politica y sin criterio se aprovechan de la comunidad venezolana para hacer campana de tantos problemas socio economicos que tiene el peru y lo unico en lo que los candidatos se enfocan es en los venezolanos,ira,politica
odio los extranjeros que hablan de venezuela para defender sus ideales bro la politica venezolana es una novela llena de mentiras corrupcion y trauma social entiendo que esta imagen nos la dieron los del tipico comentario les estamos advirtiendo pero igual callen esa jeta,ira,politica
como me dijo una vez una ingeniera venezolana que ademas es un amor de persona cuando pasas de la politica la politica pasa de ti,alegria,politica
soy una anciana venezolana mas no obsoleta y debemos elegir un lider nuevo y justo con una consigna relevante que llegue a la conciencia de las masas con ideas relevantes y modernas a nuestro tiempo vision de politica desde otra perspectiva me arrodillo ante dios todos,ira,politica
estoy ladillado de la politica venezolana de pana fin del comunicado,ira,politica
la politica venezolana me da ganas de vomitar de asco de miedo de lo irrisorio que es todo en aquel que fue uno de los paises mas felices del mundo,tristeza,politica
vean la clase politica opositora venezolana cono vale pena ajena dan estos inservibles y buenos para nada bueno corrijo buenos para enganar a la poblacion y llenarse los bolsillos gracias a la crisis venezolana,ira,politica
quienes intentaron asaltar la autonomia universitaria fueron ustedes los alacranes corruptos de primero justicia colocando toda su maquinaria para apoyar la autoproclamacion de su candidato sin tener boletin son la decadencia de la politica venezolana dan asco,ira,politica
a trump lo van a deshabilitarlo antes de 2024 usa no va a cometer el mismo error de caldera y toda la clase politica y elite venezolana de 1994 tienen de sobra argumentos como la interferencia rusa en 2016 traicionel 6 enero 2021 evasion de impuestos corrupcion etc,ira,politica
