tweet,sentimiento,tema
El Ministerio de Educación informó por medio de una publicación en Instagram que el próximo 7 de enero será el regreso a clases apesar de que decenas de docentes expresaron su descontento por las condiciones precarias en las que trabajan,tristeza,política 
Solo pensar que veremos a Ledezma en Miraflores al lado del presidente Edmundo González Urrutia dan ganas de vomitar,asco,politica
No acepto que quienes han sido parte de nuestra desgracia estén en el nuevo gobierno y punto,miedo,politica 
Impresionante… miren la Plaza de Mayo repleta saludando al Presidente electo de Venezuela Edmundo González,sorpresa,politica 
Miren la Plaza de Mayo de Buenos Aires en Argentina repleta saludando al Presidente electo de Venezuela Edmundo González,alegria,migracion
Miren la Plaza de Mayo de Buenos Aires en Argentina repleta saludando al Presidente electo de Venezuela Edmundo González,alegria,politica
Nicolás Maduro se retuerce en su búnker de Miraflores,miedo,politica 
El 10 de enero no empieza la lucha en Venezuela y tampoco se acaba. independientemente de lo que ocurra ese día,miedo,politica
Todos deben tenerlo muy claro. nuestra lucha se extenderá por años en el país. con o sin Maduro en Miraflores hay muchísimo por rescatar 🇻🇪,miedo,politica 
La única manera de sacar a Nicolás Maduro de Miraflores es muerto.Sólo así los dictadores dejan el poder,ira,política 
Hay más venezolanos en la Casa Rosada de Buenos Aires que en el concierto balurdo que hicieron en el Palacio de Miraflores,sorpresa,politica 
Hay más venezolanos en la Casa Rosada de Buenos Aires que en el concierto balurdo que hicieron en el Palacio de Miraflores,sorpresa,migracion 
No soy defensor de Edmundo González. Pero aquí metio más gente que en cualquier concentración del carnicero de Miraflores,sorpresa,politica 
Falso cuando dicen que en Venezuela no se ha peleado por la libertad,tristeza,politica 
El régimen y sus paramilitares matones masacrando a los manifestantes desarmados el 29 de Julio fue algo bochornoso,asco,politica 
Esta tiranía. la peor que ha vivido Venezuela caerá cuando una fuerza en igualdad de condiciones o superior a él se les enfrente,miedo,politica 
Una señora con su paraguas y un jovencito con piedras en las manos no se pueden enfrentar a unos monstruos (la mayoría de ellos de nacionalidad cubana) con armas y ganas de matar,miedo,politica 
No es quien se asome por el balcón de la Casa Rosada Es quien de asome por el balcón de Miraflores,tristeza,politica 
Hay que dejar el show y vivir REALIDADES en Venezuela hemos sufrido demasiado estos 25 años,tristeza,politica 
El desespero es tal de los pranes de Miraflores que le acaban de bajar otro bono a los mandriles y orcos apenas una semana después,sorpresa,politica 
Les están diciendo a los revolucionarios que aceleren los ataques. le están pidiendo mínimo 50 posteos por dia. que bolas,sorpresa,politica 
Probablemente a partir de hoy verán a todos los que han sido comprados por los cochinos bonos más activos que nunca en redes sociales. me dan ganas de vomitar,asco,politica 
Nosotros somos el bien a combatirlos por aquí con dignidad, alegría,ninguno
yo si estoy demasiado feliz por haberme ido de Venezuela. aquí estoy logrando cosas que allá me hubiese costado el triple hacerlo. Si extraño a mi familia pero ellos ya hicieron su vida ahora me toca a mi. La mejor decisión de mi vida,alegria,migracion 
Sean felices y dején a los que nos quedamos aquí en Venezuela ser felices y logrando cosas buenas tambien,alegria,migracion 
Este es el primer diciembre en 6 años que no estoy en Venezuela. Yo emigré y mi regla siempre fue volver en diciembre a ver a mi familia. Es muy fuerte tengo mucha nostalgia extraño mi país extraño las navidades allá. Estoy triste. Odio el chavismo,tristeza,politica 
Este es el primer diciembre en 6 años que no estoy en Venezuela. Yo emigré y mi regla siempre fue volver en diciembre a ver a mi familia. Es muy fuerte tengo mucha nostalgia extraño mi país extraño las navidades allá. Estoy triste. Odio el chavismo,tristeza,migracion 
Te cuento que esa tristeza está aquí también 🇻🇪 Gente presa 🇻🇪 Gente secuestrada 🇻🇪 Gente fallecida 🇻🇪 Familias rotas 🇻🇪 Si se algo te sirve los que estamos aquí los extrañamos mucho a todos los que se fueron. Ánimo,tristeza,politica
Te cuento que esa tristeza está aquí también 🇻🇪 Gente presa 🇻🇪 Gente secuestrada 🇻🇪 Gente fallecida 🇻🇪 Familias rotas 🇻🇪 Si se algo te sirve los que estamos aquí los extrañamos mucho a todos los que se fueron. Ánimo,tristeza,migracion
El último diciembre que pasé en Venezuela fué el de 2009! Vendrán nuevos diciembre por allá,tristeza,migracion 
Cosas que extraño de Venezuela: poder vestirme bien cuando me diera la gana sin depender de estaciones 😭,tristeza,migracion 
Lo que más extraño de Venezuela no es su comida ni sus playas. Es la atención médica. Se me hace ilógico que yo tenga uno de “los mejores” seguros médicos de Argentina y cuando tenga una emergencia me “revisen” por encimita. por donde pasa la novia. Qué gente tan pirata,tristeza,migracion 
Feliz Navidad mundo 🌐 Feliz Navidad Venezuela te extraño como siempre 💛💙❤,tristeza,migracion 
El regreso de Zara a Venezuela estuvo cool pero ¿saben qué realmente yo quiero que regrese si aún existe? Subway extraño el olor a Subway,sorpresa,migracion 
Día 1 llorando porque extraño Venezuela,tristeza,migracion 
El día de la libertad. Hay un ambiente extraño en Venezuela. ya pasó el 24. 31 y se espera el día 10 de enero como la fecha más importante,miedo,migracion 
El día de la libertad. Hay un ambiente extraño en Venezuela. ya pasó el 24. 31 y se espera el día 10 de enero como la fecha más importante,miedo,politica 
Mi vida en Venezuela fue demasiado gris de altos y bajos. Más bajos que altos. Cada vez que me que preguntan que si volvería o si la extraño mi respuesta es un “no” en seco y sin pensarlo,asco,migracion 
El país no tiene la culpa. estoy orgullosa de ser venezolana pero aquí donde estoy actualmente me siento plena y feliz,alegria,migracion 
Si cada uno hace lo que corresponde… en unos pocos días Venezuela entera se encontrará en las calles. Ese día nadie te puede sustituir. Yo estaré. espero que tú también. La hora ha llegado,sorpresa,politica 
Que Dios bendiga a Venezuela en este Año Nuevo 2025,alegria,migracion 
Que la bendiga con libertad y justicia frente a la cruel tiranía que la esclaviza. Te ❤🇻🇪,alegria,politica 
El 10 de enero será decisivo y será el día anhelado para todos los venezolanos que queremos una Venezuela en libertad,alegria,politica 
Mañana se reactiva el congreso de USA es probable que en los próximos días pongan la recompensa de los 100 millones,sorpresa,politica
Se llegó enero y no pudieron falsificar ni un acta. Están acabados. Hasta El Final 🇻🇪,sorpresa,politica 
Ya hicimos los rituales  ya hicimos el brindis ya comimos ya recibimos el año ahora seguimos con el conteo. NUEVE DIAS PA QUE TE DEN MACHETE BIGOTE DE BROCHA HASTA EL FINAL,ira, politica 
La gente desde ayer anda arrancando quemando y tumbando afiches del dictador Nicolás Maduro por doquier… esto es en algún barrio popular venezolano. Viva Venezuela Libre,ira,politica 
Nicolas Maduro el mundo enteró te apoya..viva Venezuela..viva Maduro,alegria,politica 
EL CERDO DICTADOR NICOLÁS MADURO NO AGUANTA MÁS se queda dormido tras discurso en vivo EL MIEDO NO LO DEJA DESCANSAR. HASTA QUE NO CAIGAS VENEZUELA NO ESTARÁ CONTENTA 🇻🇪🇻🇪🇻🇪🇻🇪👊🏼👊🏼👊🏼🔥🔥,asco,politica 
Está Mujer Si Es Casona ValenQue Viva El Presidente Nicolás Maduro ✊🇻🇪❤,alegria,politica 
¡Se viene el momento! En solo 8 días Nicolás Maduro se juramenta como Presidente constitucional de la República Bolivariana de Venezuela. ✊🏽,alegria,politica 
¡El pueblo venezolano quiere paz y demostrará que su lucha no se detiene! ¡Viva Venezuela! 🇻🇪,alegria,politica 
En este 2025 le pido a Dios que caiga la dictadura genocida de Maduro y con ella la peste del socialismo del siglo XXI en todo el continente. Ojalá este 10 de enero podamos todos gritar VIVA VENEZUELA LIBRE,alegría,politica 
Venezuela necesita más Oscar Pérez y menos tibieza y cobardía. Oscar Pérez vive y está más vigente que nunca. 🇻🇪,miedo,politica 
Viva Venezuela libre y Muerte a la dictadura de Nicolás Maduro,ira,política 
Pantallas del Aeropuerto Internacional de Maiquetía Simón Bolívar difunden cartel de recompensa contra Edmundo,sorpresa,politica 
Esa jugada del gobierno de lanzar a  ULTIMA HORA una recompensa por la captura de Edmundo evidencia miedo y desespero por parte de Nicolas Maduro a pocos días del 10 de Enero además de enviarle mala señal a sus seguidores. Algo ahí no está bien,miedo,politica 
Sin importar el que dirán esto es hasta el final,miedo,politica 
el 10 de Enero será el Fin de la opresión y la miseria en Venezuela. El día de tu “Posesión”  será él dia de tu caida Nicolas Maduro la justicia te pondrá fin y no tendrás escapatoria. Caerás como ficha de ajedrez caerás!FUERZA VENEZUELA 🇻🇪 ,miedo,politica 
que manda a decir Juan Guaido a Edmundo González Urrutia que no es recomendable ir a Venezuela por Maiquetía. Y si lo va hacer que se lleve un mentol para los coñazos. Que el sabe por qué se lo dice,miedo,politica
Muchos venezolanos unos 3 millones de migrantes regados por todo el mundo esperan para regresar el primer semestre del 2025 a Venezuela. Hay mucha fe de que esto va suceder.  Venezuela Libre 🇻🇪,alegría,migracion
Así de felices estaremos todas las madres venezolanas cuando veamos a nuestros hijos regresar a Venezuela país del que salieron por culpa del GENOCIDA maduro. Cayó Siria  el psuvismo pronto,miedo,política
Muchos venezolanos unos 3 millones de migrantes regados por todo el mundo esperan para regresar el primer semestre del 2025 a Venezuela. Hay mucha fe de que esto va suceder.  Venezuela Libre 🇻🇪,alegría,política
Así de felices estaremos todas las madres venezolanas cuando veamos a nuestros hijos regresar a Venezuela país del que salieron por culpa del GENOCIDA maduro. Cayó Siria  el psuvismo pronto,miedo,migracion 
El viejo borracho se fue huyendo de Venezuela😧y bien chorreado pero cuatro peas después desde el exterior dice que va a regresar 😂 El whisky lo tiene loco y delirando. 🥴,ira,politica 
Yo salí de Venezuela de forma temporal. Yo sabía que yo iba a regresar en cualquier momento y el momento es el 10 de enero,ira,migracion
Yo salí de Venezuela de forma temporal. Yo sabía que yo iba a regresar en cualquier momento y el momento es el 10 de enero,ira,política
Una venezolana que vive en Miami y que hace tik tok pasando las imágenes de la f de Siria escapando de la ocupación  y explicando que son los Sirios que vivían afuera felices regresando. Y deja entrever sus deseos  de regresar a Venezuela así. Uno no sabe si reirse o llorar 😭,tristeza,política
"GLORIA AL BRAVO PUEBLO!! Mi mensaje para este año 2025 para ti, venezolano. La hora ha llegado. Por nuestros hijos, por nuestra amada tierra, por nuestra Libertad. Depende de ti, de mí, de todos. Tú tienes que estar ahí. Yo estaré contigo. GLORIA AL BRAVO PUEBLO",alegria,politica
"El pueblo venezolano recibió el año con su presidente Nicolás Maduro   Soporten envidiosos",alegria,politica
"¿Sabían ustedes que los venezolanos residentes en Buenos Aires se reúnen el 31 de diciembre en el Puente de la Mujer, para recibir el año juntos? Es para sobrellevar la nostalgia de tener a la familia en Venezuela y ya se convirtió en una tradición venezolana en Argentina",alegria,migracion
"Hace 53 años, con el sueño de ser beisbolista, nuestro Comandante Chávez ingresó a la Academia Militar de Venezuela, donde se formó como soldado. En su corazón nacería una gran pasión por la vida militar, la historia y el legado de nuestro Libertador Simón Bolívar, un compromiso que creció para sembrarse en el alma del Pueblo",alegria,ninguno
"Vamos a acelerar y a profundizar en el amor, el trabajo y la Perseverancia para el bienestar de nuestros abuelos y nuestras abuelas. Estamos dando una batalla histórica por la verdad y la Paz de la Patria","alegria", politica
"En las manos de los hombres y mujeres de bien del país, están las oportunidades de la Venezuela que seguimos construyendo juntos nuestra patria.",alegria,politica
"Y Miraflores se llenó de pueblo. Miles de Comuneras y Comuneros tomaron la Gran Caracas y entraron a Miraflores para respaldar a nuestro Presidente reelecto Nicolas Maduro. Demostramos que la fe está en el pueblo y nosotros tenemos el control de las calles",sorpresa,politica
"Leales siempre, traidores NuNcA. La fuerza del Poder Popular y La esperanza está en la Calle juntos seguiremos Venciendo..",alegria,politica
"Caracas siempre demostrando y dando ejemplo !! La gran capital donde se han ganado mil batallas por la democracia y mantener lejos de las manos del gobierno gringo nuestras riquezas y nuestra cultura!!",alegria,politica
"Vamos a construir la patria comunal a través de la transformación cultural, que viva la revolucion",alegria,politica
"Ser Chavista es un compromiso profundo con los pueblos y la vida. Ser Chavista implica una serie de valores, principios y prácticas humanas revolucionarias que tratamos de sintetizar en esta publicación. Espero sea de utilidad, sobre todo para la Juventud",alegria,politica
"La Alianza Bolivariana para los Pueblos de Nuestra conmemoró los 66 años del triunfo de la Revolucion Cubana  , de lo que llamó aquel glorioso 1 de enero de 1959, desde Venezuela abrazamos a nuestros hermanos",sorpresa, politica
"¡Epa! Ya no me leerán mucho por aquí. No vale la pena. Al fascismo hay que frenarlo, que viva Venezuela", miedo,politica
"El secretario ejecutivo de la Alianza Bolivariana para los Pueblos de Nuestra América-Tratado de Comercio de los Pueblos , Jorge Arreaza, denunció una campaña, en la que están implicados intelectuales latinoamericanos", miedo, politica
"Leales siempre, traidores nunca. Pronto los majunches caeran, que viva la revolucion",alegria,politica
"Siempre con Maduro",alegria, politica
"¡Nosotros Venceremos! Caracas está desbordada de gente en amor y respaldo al Gallo pinto de Venezuela. El Poder Popular sigue firme para la toma de posesion después de la gran victoria de Nicolás Maduro el 28J. ¡Somos mayoría!",alegria,politica
Otro fracaso de Maria Corina que desastre",asco,politica
"El “hasta el final” de ellos es cada vez que salen. Cada convocatoria es el final",asco,politica
"El chavismo esta en la calle!!!",alegria,politica
"Se cumplió la profecía, orden de aprehensión contra Edmundo Gonzalez se hizo justicia. Ahora pasará trabajo el Diablo y la Diabla",ira, politica
Vaya mi saludo al pueblo de Cuba 66 Anos En Revolucion venceremos!", alegria, politica
Viva Chávez nojoda!", alegria, politica
"Llegó el año 2025 con ganas de echarle un camión y derrotar a aquellos que nos han querido derrotar y no han podido, la revolucion se respeta", ira, politica
"Feliz año Para todos en esta fiesta, que el 2025 sea de bendición para todos Uds! Se les quiere que jode, vayan al concierto de Miraflores que va estar bueno, hagan el amor no la Guerra", alegria,politica
"El 2024 se lleva a Maduro!!!!!!! Dios los bendiga a todos. Que bendiga sus familias. Que sean felices… Amen. Feliz ańo!!!!!!!!!!", alegria,politica
"Así te pones tú, todo asustado,lleno de Miedo con cualquier expresión de Resistencia, tú crees que nos queda poco tiempo? El tiempo corre en contra de Uds y no saben cómo eludirlo! No le caigan más a mojones a la gente", ira, politica
"Así se ponen todos pocos días antes de caer, a sacar armas, y “demostrar” fuerza. El ego de Maduro es tan grande, que ni se da cuenta del papelon que está poniendo en el video", ira, politica
y nosotros iniciamos igual sin servicios desde el .... sin unos 🤮 🤮🤮🤮🤮🤮,asco, ninguno
"jamás, me les muero con eso. 🤮",asco,ninguno
qué ridículo!!! ️🤮,asco,ninguno
eseeeeee ese canal es una 🤮,asco,ninguno
que enfermo🤢🤮,asco,ninguno
eso que es? sancocho de aceite? solo de pensar comer tanta grasa me 🤢,asco,ninguno
para todos los días son domingo 🤢,asco,ninguno
chino noooo 🤮,asco,ninguno
la ropa de mujeres en bershka 🤮🤮🤮🤢 la ropa de hombre 😍😍😍,asco,ninguno
decir que se perdió una batalla a las drogas y el gran ganador los mafiosos y grupos armados y el pacto diabólico 🤮🤮🤮🤮,asco,ninguno
uy qué fuerte y asqueroso 🤢🤮 porque haces eso?,asco,ninguno
lejos con un mal parido chino o china 🤢 🤮,asco,ninguno
que equipo que cada vez hace peor! 🤮,asco,ninguno
"siempre, pero siempre me va a alegrar que los 🤮 queden afuera de todo lo que jueguen, de todo !!!",asco,ninguno
apetito voraz el del gobierno anterior 🤢🤮,asco,ninguno
lo que logran los buses cuando se van por cambronero es que me vomite 😩🤮,asco,ninguno
"éstos uribestias hijueputas definitivamente son rebrutas uffffff 🤢🤮🤮, además uribestia huevón,el no organizo su posesión... uribestia hijueputa e ignorante.",asco,ninguno
"vida hp, por que son asi 🤮🤮🤬",asco,ninguno
alguien creerá esa pantomima???🤮,asco,ninguno
"éstos uribestias hijueputas definitivamente son rebrutas uffffff 🤢🤮🤮, además uribestia huevón,el no organizo su posesión... uribestia hijueputa e ignorante.",asco,ninguno
si bueno sq te comiste una pizza de sabores bastante cochinos 🤮 despues como en un tiro al blanco ganamos una botella te la tomaste!. y bueeeno para ti las tazas se veían divertidas 😱 pero llego adele en una moto arrechisima y te secuestro! 😅,asco,ninguno
tragate las ratas que elegiste 🤢🤮,asco,ninguno
"algo así cómo, como digo una cosa digo otra, chimoltrufia de 🤮🤢🤮🤮",asco,ninguno
"definitivamente, es un homúnculo como su atiplada voz.🤮",asco,ninguno
la gente desagradecida es la peor definitivamente 🤮,asco,ninguno
"me mandaron por dm una fotogüevo grotesca 🤢 no envien fotos asi, eso no es lindo, no para todos...",asco,ninguno
vieja ridícula! 🤢🤮,asco,ninguno
posss si 🤮,asco,ninguno
qué chucha le pasa? qué asco!! 🤢😡,asco,ninguno
🤢. la mía bien asada por favor,asco,ninguno
uy no.. 🤮,asco,ninguno
este doctor cree que nada más importa 🤮,asco,ninguno
por qué hay mujeres que les gusta que les digan cosas morbosas? 🤮,asco,ninguno
esos gota gota se creen los dueños del carril del mío? que plaga 🤮,asco,ninguno
no se le pueden pedir peras a los olmos! 🤢,asco,ninguno
secretario de que?😂🤮😂🤣😂🤣😂🤣😂🤣,asco,ninguno
gracias a dios que no veo nada de esa porquería de canal 🤮🤮,asco,ninguno
"yo no puedo creer que exista gente con tan malos gustos, el bochorno salir así 🤮",asco,ninguno
"🤮, que casualidad.",asco,ninguno
celebrándo los corruptos... como salen a relucir. panama 🤮,asco,ninguno
nunca coman en la diva que mierda de pizza 🤢,asco,ninguno
publicalaaasssss que se joda más ese güevón 🤮,asco,ninguno
"pero en este país adoran a la españoleta que ha debido salir de su país porque allá era un cero a la izquierda, encontró en este país a un par de mamertos que le gusta su manera de hacer periodismo! a mi me da asco 🤢 .",asco,ninguno
"carga más rápido el twitter con los paquetes de datos de mil, que con el internet de la casa.. con fibra que tales nivel heróico y todas esa mierdas. que son solo humo 🤮🤮🤮 🤮",asco,ninguno
"que tristeza , dios se apiade de esa mamá tan mala , me imagino la clase de mujer que es 🤮",asco,ninguno
ladrones hijueputas hampones disfrazados de politicos honorables..!! 🤮🤬,asco,ninguno
los petroñeros son ignorantes a hasta para justificarse. que vergüenza 🤮🤮🤮🤮🤮🤮,asco,ninguno
"no parce que mamera tengo sentencias , un libro de laboral por leer 🤢 un taller de masc y lo único que quiero es morirme",asco,ninguno
así me siento hoy 🤢,asco,ninguno
alrica 🤢,asco,ninguno
hola muy buenas tardes winsports y porque en el vídeo no está el mejor club que es el deportivo cali a.a como siempre con la envidia y siempre con el nacional 🤢 y lo más antiguo es el cali,asco,ninguno
ordinaria🤮🤮🤮🤮🤮🤮y para cuando se pondrá a hacer alguna obra social???😡😡😡😡😡😡,asco,ninguno
"eso para nosotros es antihigienico🤮 eso con pelo huel mal, y dejar bactrria",asco,ninguno
"una vergüenza para la iglesia, para la compañía y para la sociedad 🤮🤮🤮🤮",asco,ninguno
"nadie? pero usted si lo ha estado o es que es la vaca que más pasto tapa? hmmmmm... elmugre 🤮 ya no sabe ni qué ordenar!!! pero le llegará su turno y pagará. bandido!!!😡 y mentiroso, ah! además de guerrillero!!! 😡😡😡",asco,ninguno
por qué la gente paga por fotos de pies 🤮,asco,ninguno
cuabtos integrantes del hay presos por corrupción jajaja q asco de gente los buenos 🤮?!!,asco,ninguno
increíble como hay tanta gente con tanto mal gusto🤮🤮🤮🤮,asco,ninguno
no se sabe cuál de los dos es más payaso y despreciable...🤢🤮,asco,ninguno
"hasta de frente, y el ojibrotao ni cuenta se da, como prefiere vivir borracho 🤢🤢🤢🤢🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮",asco,ninguno
yo conocí el regionalismo hasta que viví en medellín 🤮 es increíble ver su sentido de superioridad ante los rolos... un asco completamente.,asco,ninguno
"hello saludos parra todos siempre con cada latidos de nuestros sobrevivir en estos tiempos 😷🤢 crisis pero palante no acostumbro montar nada de día de las madres, visitar campo santo",asco,ninguno
"sin duda alguna. empezando por el coletilla de pablo iglesias.! todos los dirigentes del partido de gobierno de aquí, el psuv, son millonarios a costa del dinero público que se lo han robado.!🤮",asco,ninguno
"a sí, se nos escapaban las ternuritas de los ayatolas...🤢",asco,ninguno
el salario mínimo es de mil bs soberanos 🤮,asco,ninguno
"jajaja... noooo, se ve terrible 🤮",asco,ninguno
en serio? 🤢🤢🤢🤢,asco
