comment,sentimiento,tema,politica,migracion
descarados los alacranes topos aranas y buitres que quieren representar a la oposicion venezolana esa fauna politica se equivoco a la oposicion la representa la oposicion renovar la conduccion politica y ratificar la ruta libertaria es la tarea pendiente,2.0,politica,1,0
lacras socialesdestruyeron la republica y generacionesla vida les pasara factura a la clase politica venezolanapudranse,2.0,politica,1,0
manana sera el sepelio esa basura de la politica venezolana y como persona desde hace mucho tiempo esta cepultado solo que no acepta que es una escoria de la politica venezolana que se acostumbro a ser un estorbo por dinero y ansias de poder y ser un perdedor arrastrado,2.0,politica,1,0
ese rio deberia llamarse la politica venezolana porque ninguno sirve es mas el rio se sentiria ofendido por eso mas basura hay fuera que dentro de el,2.0,politica,1,0
no le pares a esa cuerda de locos que no quieren abrir los ojos y ver la realidad de la politica sucia venezolana,2.0,politica,1,0
habia libre convertibilidad de la moneda un desastre de politica economica que empezo a liquidar a la economia venezolana y a abrirle todo el espacio a esa inmensa y perversa redistribucion de la riqueza,5.0,politica,1,0
ojala que la mugre de la clase politica venezolana o algunos de sus descerebrados no se les ocurra la maravillosa idea de felicitar a ferdinand marcos jr aunque no se sabe por donde va a saltar la libre con la basura roja psuv o la basura opositora mud mesita et al,2.0,politica,1,0
es gracioso hace 20 anos los venezolanos me descalificaban por que yo no estaba en venezuela y no sabia de politica venezolana hoy me descalifican los espanoles porque estoy en venezuela y por lo tanto no se de politica espanola,2.0,politica,1,0
no soy experto en politica venezolana pero se me hace que a guaido se le cayo la pantomima y la gente no lo quiere pero no se es solo una suposicion,2.0,politica,1,0
dinosaurio de la politica venezolana tanto que hablaban y aparte corruptos hasta decir no mas,2.0,politica,1,0
ese en realidad no se vendio ya el estado ha vendido o sea el es un vendido de la politica venezolana el esta con quien le de el no haya a que arbol arreguin dar se ni en que arbol guindas porque son seres que toda la vida han vivido de la politica del hambre del pueblo,2.0,politica,1,0
el senor victor pareciera que cree que la politica venezolana es por medio de twitter al parecer le molesta que la politica toque con las bases por medio de primarias prefiere seguir aqui con su teclado y sus pantuflas,2.0,politica,1,0
la inmigracion venezolana ha sido manipulada por el neoliberalismo mentiroso y ladron convirtiendola en una herramienta politica de desestabilizacion,2.0,politica,1,0
no reza por ti y porque el partido conferencia episcopal venezolana regrese a sus templos y abandone la politica conspiradora de lo contrario me proclamo papa y los excomulgo,2.0,politica,1,0
lo quemaron es el chacumbele de la politica venezolana el mismito se quemo,2.0,politica,1,0
q te puedo decir tuve una relacion mas de 3 anos con venezolana y conozco su cultura es gente maravillosa y enroquecen el pais pero dejando lo politica correcto es verdad q les falta respeto y convivencia para vivir en comunidad vivan las venezolanas fuera los venecos,2.0,politica,1,0
que cosa tan asquerosa es la politica venezolana,2.0,politica,1,0
son unos cara de tablas parasitos son el cancer de la politica venezolana,2.0,politica,1,0
que mal posicion este individuo no tiene nada que buscar en la politica venezolana,2.0,politica,1,0
buen dia cafe retuiteando y leyendo la prensa venezolana noticias 30072022 politica lucha por el oro economia resucito repsol social trata de personas si a la paz saludos cordiales,0.0,politica,1,0
a quien cono le importala clase politica venezolana de pana no tiene en lo absoluto que ver con nuestra realidadlos tipos estan metidos en su burbuja de conseguir unos carguitos pero pana no sean boletas,2.0,politica,1,0
a veces nos quejamos de la politica venezolana y la eternidad en la que han querido estar en el poder pero tambien es muy triste que ese mal se apodero hace mucho de las autoridades deportivas muchos anos la misma gente haciendo lo mismo con los mismos resultados,5.0,politica,1,0
mas claro imposible el escrito de a los payasos de la politica venezolana y a sus focas que le aplauden todo hay que darles duro,2.0,politica,1,0
para la nueva elite politica e intelectual venezolana todo es un montaje querer el pais no es invisibilizar los terrores que vive las poblaciones,2.0,politica,1,0
lo miserables de venezuela es el satan de la politica venezolana,2.0,politica,1,0
puro gamelote es usted un claro ejemplo de la descomposicion politica venezolana el 80 rompio filas con estos traidores vamos bien,2.0,politica,1,0
para mi venezolano tambien es sorprendente tengo dias tratando de explicarmelo creo que el trauma es un factor importante pero ademas hay falta de conocimiento sobre el fondo historico de la propia crisis venezolana falta de cultura politica y ciudadana,5.0,politica,1,0
la verdad sea dicha a ninguna politica venezolana le he visto esa formacion y ese saber estar y conducirse con excepcion d mercedes pulido de briceno no recuerdo ninguna otra de la 4ta obviamente porque de 1998 para aca pura perdida que pena dan esas mujeres vale,5.0,politica,1,0
la libertad y la democracia asentadas sobre la base de la justicia y los grandes valores son inconmovibles descubramos nuevamente esos grandes valores poniendolos a disposicion del pueblo venezolano que ansia ver espiritus elevados y no almas errantes en la politica venezolana,5.0,politica,1,0
la politica venezolana no puede seguir siendo un pacto patriarcal espacios de decision y negociacion sin mujeres partidos politicos que ignoran denuncias de acoso por parte de sus militantes ninguna estrategia para la impulsar la paridad,2.0,politica,1,0
la clase politica venezolana es asquerosa da nauseas,2.0,politica,1,0
sin guaidonadas guaidiotas estas mamarracho de la politica y opodrision venezolana ya no consiguen en q palo ahorcarse x dios yo les pregunto cuales expertos los de juanito alimana alias guaidiota esos expertos son los q piden vigilancia epidemiologica,2.0,politica,1,0
oposicion politica venezolana son es unos cobardes y delincuentes y el nacional es otro medio que se encargar de desinformar y difamar,2.0,politica,1,0
en los hermanos que suenan con regresar a su patria a ayudar a construirla y a hacerla prospera no se puede pensar en aspiraciones con mezquindades queriendo ser el inquisidor impoluto de la politica venezolana urge remoralizar la politica y renovar la dirigencia,2.0,politica,1,0
tampoco yo tengo en alta estima a la oposicion politica profesional venezolana aja pero mas alla de los comunicados y batallitas de microfono que nunca llegan a nada que deberia hacer lanzar misiles directos desde roma madrid weston coral gable a moscu haganlo uds,2.0,politica,1,0
todo esto es una organizacion terrorista que tienen como objetivo principal la politica contra el gobierno de venezuela ya no tienen moral para estas estupideces utilizando a los migrantes para sus intereses politicos y economicos de esta oposicion venezolana dan asco todo esto,2.0,politica,1,0
ojala pero creo que no ya los chavista se llaman al silencio los de oposicion son rejaladores de mecate de la oposicion y somos pocos que queremos hacer un nuke en la politica venezolana puros dinosaurios politicos gente vieja mamerta y chorra,2.0,politica,1,0
que lata era una fiel seguidora pero estan demasiado polarizados parecen programa de tv publica venezolana esta bien que tengan una clara inclinacion politica pero lo que hacen es asqueroso,2.0,politica,1,0
buenos dias mamando y lococaferadio rumbos retuiteando y leyendo la prensa venezolana noticias 11112021 politica alex saab economia industrial textil buhonera social gremio rumbero alzado saludos cordiales,0.0,politica,1,0
buena noche don pedro muy atento a sus clases magistrales de teoria politica aplicada a la realidad venezolana gracias por su analisis saludos,0.0,politica,1,0
al fin un rostro fresco en la politica venezolana,0.0,politica,1,0
en mi humilde caso yo hace rato que bote la toalla con la politica venezolana me concentro solamente en realizar lo que fundamentalmente es mi tarea ciudadana echarle mierda a las porquerias que quebraron a venezuela es decir al chavismo,2.0,politica,1,0
embustero con tu twitter solo buscas atencion los vzlanos que estan afuera le estan echando una y parte de la otra para enviar remesas a familiares y tratar en lo posible aliviar el sufrimiento diario producido por toda la clase politica venezolana psuv y oposicion,2.0,politica,1,0
ok mas facilidad con el 4x1000 mano de otra venezolana en exceso politica fiscal mas exigente alcaldes progresistas enemigos del emprendimiento educacion secuestrada por el globalismo farc gobernando la verdad no encuentro las mejoras dame luces,2.0,politica,1,0
a este bobo no le dara pena mucho de la tragedia venezolana tiene que ver con esa oposicion floja y mediocre y con una clase politica no corrupta que decidio abandonar el barco para irse a la florida,2.0,politica,1,0
la politica venezolana es una soberana mierda,2.0,politica,1,0
lo mas bello del universo de chacao y de la politica venezolana irene saez conde,0.0,politica,1,0
falso se la dedico a chavez a quien admiro por su gran labor d fomentar el deporte parabras mas palabras menos yo siento alegria para su triunfo y porque es venezolana no me importa su preferencia politica cada quien con su peo mental yo amo el deporte si no entendio triste,0.0,politica,1,0
creo que olvidaste la historia reciente de la politica venezolana chuo torrealba fue uno de los artifices del ultimo gran exito de la oposicion ese que le arrebato de la boca el cadaver de la oveja muerta al lobo y henry ramos con soberbia y pantalleria lo tiro a guaire,2.0,politica,1,0
este esta lokojamas como venezuela si te gusta la politica venezolana largate y nacionalizate veneco y no nos jodas,2.0,politica,1,0
asi de grave y desorbitada sigue la derecha venezolana que a poco menos de 30 dias para un nuevo proceso electoral clave tiene que usar el caso de alex saab un secuestro del imperio arbitrario ilegal y brutal para hacer campana politica contra el gobierno,2.0,politica,1,0
como haya intervencion de manos extranjeras en nuestra politica nacional se las vamos a cortar sean estas de la violencia cubana venezolana colombiana ecuatoriana o foro de sao paulo le tomaremos cuentas en serio somos peruanos,2.0,politica,1,0
aja y a quien carajo le importa lo que piense una ex diputada venezolana de lo que haga argentina con su politica exterior claro me olvidaba que este medio funciona como boletin oficial de las embajadas yankys e israelies y ellos son veladores del fantasma guaido,2.0,politica,1,0
nmj ya salio el primer critico superdotado y sabiondo de la politica venezolana a ver quien mas anden no se queden callados la getica a ver a ver quien dijo yo que belleza de estupidos twiteros estos conocedores de todo pero de todo todo nmj,2.0,politica,1,0
la mafia delincuencial chotana compro concienciastopos en el congreso cuidado asi empezaron en venezuela impusieron su asamblea constituyente y todos sabemos la historia venezolana defendamos la libertad y democracia las calles nos esperan insurgencia ya,5.0,politica,1,0
las mujeres jovenes son mas invisibilizadas en la politica existe sobre todo en america latina una hipersexualizacion y estigmatizacion contra la mujer migrante venezolana que es una forma de violencia contra ellas,2.0,politica,1,0
hola me dirias porque dices esto no entiendo de politica venezolana y no de si ganaron buenos personas que se hacen llamar opositores y son prodictadura o no se ayuda,2.0,politica,1,0
la clase politica de lo que hoy se hace llamar izquierda en funciones de gobierno el presidente nicolas maduro opto por la burguesia venezolana en detrimento del pueblo pobre de venezuela es una aventura infeliz pretender elevar al presidente maduro al nivel moral y sigue,5.0,politica,1,0
hermano lamento decirle que sien efecto tengo muchos amigos y amigas que estan en la politica venezolana pero yo no vivo en el pais aun asi viajo este viernes a ejercer mi derecho al voto no puedo llamarme oposicion si no me opongo a nada yo no me quedo en la queja,2.0,politica,1,0
jejeje mira quien aparecio la mal nacida hija del alacran bernabe gutierrez la rata mas grande que tiene la politica venezolana pagaran,2.0,politica,1,0
yo creo que moises naim es guaidolover desde hace rato no se mucho sobre el pero me da un aura a politica venezolana come flor de los 90,0.0,politica,1,0
de verdad q eso es una atrocidad debe ser eliminado de la politica venezolana es una aberracion para elector ya q salen unos personajes q ni en sueno se votarian por ellos,2.0,politica,1,0
venciendo desde hace rato no ves que desde hace 20 anos lo unico que has podido acumular son derrotas y frustraciones oh acaso no ves en lo que quedo la oposicion venezolana asi son los pocos que quedaron con esa clase politica en la mediocridad hagale que ban mui viem,2.0,politica,1,0
sin duda tiene una estrategia politica ve las elecciones dl 21n como un momento para movilizarorganizar a la sociedad venezolana y asi ir por la recuperacion definitiva d la democracia exito,0.0,politica,1,0
que bajo nivel la politica venezolana,2.0,politica,1,0
caleca tiene el pulso de la politica venezolana me agrada coincidir con tus apreciaciones politicas sin haber conversado o visto durante tantos anos saludos rafael,0.0,politica,1,0
injusticia innoble 27 la cancilleria venezolana envio una nota al sec de la onu antonio guterres informando la condicion de diplomatico alex saab y lo ilegal d su extradicion a usa lo q demuestra el nivel de persecusion politica impulsada por ese pais,2.0,politica,1,0
muy lamentable que esta sea la posicion de una mujer en la politica venezolana cero escucha cero conexion con la realidad cero inclusion cero consenso este camino es largomuy largo,5.0,politica,1,0
pero una vez mas la estafa opositora venezolana se apega al discurso oficial y a la politica del regimen y senala a los eeuu como los causantes de nuestra actual condicion lo mas triste es que una vez mas se saldran con la suya y una vez mas nos toca pagar los platos rotos,5.0,politica,1,0
los zurditos de la politica y del periodismo 90 odian visceralmente a la policia argentina si fuera cubana o venezolana es otra cosa chico,2.0,politica,1,0
que bolas marico pa lo que quedaron en la politica venezolana,2.0,politica,1,0
tales resultados son culpa de guaido y su clan ellos le mancharon la imagen a la oposicion democratica de la politica venezolana,2.0,politica,1,0
es claro y evidente que los unicos arrastrados en la politica venezolana son ustedes los de la oposicion oh no te das cuenta en donde y como viven estos sujetos que se definen patriotas y se venden al mejor postor para muestra un boton toma toma toma toma pa que seas cerio,2.0,politica,1,0
vaya un reconocimiento especial de toda la ciudadania y la clase politica venezolana para por la humildad y entrega demostrada sin duda alguna un caballo,0.0,politica,1,0
y al final del dia que arraigada esta maria corina con los dinosaurios socialistas de la politica venezolana nunca cortara ese cordon umbilical,2.0,politica,1,0
por favor y sobretodo diosdado que parece un jeque arabe de todo lo que ha robado y el nepotismo a millon en su familia casi todos estan metidos en el gobierno sin nombrar al mocho mas ladron que ha pasado por la politica venezolana david cabello demas de descaro,2.0,politica,1,0
que a estas alturas un impresentable como rosales sea la esperanza de los zulianos es muestra de lo nauseabunda que es la clase politica venezolana,2.0,politica,1,0
alex no opines de la politica venezolana dejanos eso a los venezolanos te necesitamos para que vuelvas y muestres al mundo las bellezas de nuestro pais y para esos debes entrar y salir sin ningun problema saludos,5.0,politica,1,0
si freddy guevara fue detenido y liberado sin mas les hago la siguiente pregunta habian fundamentos para la detencion de guevara si era asi la justicia venezolana es chatajeable y nada imparcial de no haber fundamentos su detencion fue meramente politica,2.0,politica,1,0
como les encanta evadir su responsabilidad porque la migracion venezolana se ha dado tambien gracias a q sabemos q toda la dirigencia politica opositora forma parte del regimen y por ello nunca ha estado en sus planes sacarlos del poder,2.0,politica,1,0
ese pana es un personaje jajajaja que asquerosa es la politica venezolana,2.0,politica,1,0
escuchen y observen a este tremendo ilusionistamitomano al manipulador de masas que jamas hayamos visto en nuestra politica venezolanaal hombre que el pueblo lo tomo como un mesiasun salvadory lo unico que hizo fue poner la gran tortaes decir la gran cagadahambre y miseria,2.0,politica,1,0
definitivamente en la oposicion venezolana no hay madurez politica y mientras no se reorganizan los partidos politicos el gobierno no tiene oposicion en la oposicion se hacen oposicion entre ellos mismo y no es justo ni es humano que pague los que menos tienen,2.0,politica,1,0
empatia necesitaba el pueblo cuando este nuevo rico de la politica absurda venezolana se vendio en negociaciones y no llamo a una intervencion a tiempo pffffff,2.0,politica,1,0
lamentablesoy venezolaname alegre por la medalla de su cliclista pajonigual ocurrio con nuestro medallista juliolo insultaron y mandaron a meterse la medalla en el culporque expreso simpatia con chavezque carajo importa su posicion politica represento al pais y gano,2.0,politica,1,0
soy venezolano de nacimiento y vivo en venezuela conozco y padezco las necesidades de todos los que no vivimos de la sucia politica tercer mundista y mas la venezolana que siempre esta prendida la fabrica de pobres a costillas de sus politicos que se hacen ricos de la nada,2.0,politica,1,0
tantas otras cosas con importancia para legislar para utilizar el tiempo en esa estupidez que desgracia que gobiernos de otros paises esten perdiendo el tiempo para encaminar a sus naciones a la desgracia politica como la venezolana,5.0,politica,1,0
toda la clase politica reclama prevencion y gasto contra los incendios donde estaban y q decian en enero cuando hay q hacer estas cosas y cuando se reparten 20 mil mill al feminismo decenas de mill a una aerolinea venezolana millonadas a partidos sindicatos actores,2.0,politica,1,0
si se gana y se presiona puede que no pase nada eso agravaria la percepcion derrotista de la gente ilusionar para no cumplir una constante en la politica venezolana en los ultimos anos y que ha generado la apatia y escepticismo del que habla,2.0,politica,1,0
de los mas pintorescos que ha parido la politica venezolana de los ultimos anos,5.0,politica,1,0
kni modo la institucion politica que tenemos hoy por ahora ha demostrado en 22 anos que no es apta para administrar gobernar esta sociedad venezolana carecemos ahora de organizacion de direccion y orden,5.0,politica,1,0
guaido no ha arriesgado nada y bastante que se ha enriquecido y muy por encima de guaido esta el pais guaido es un estorbo que debe desaparecer de la politica venezolana,2.0,politica,1,0
que quieren empezar a aplicar su politica venezolana el peru es un pueblo trabajadorqueremos estabilidad y trabajo y dejen de joder con tanta politica comunistay dejen de estar haciendo desestabilizando al pais,2.0,politica,1,0
en la politica venezolana no existe un partido de que una u otra manera no haya negociado para existir a costa de lo q deberia ser su verdadero objetivo que es salir del gobiernoes un solo bando que simula pelear para seguir mandando y los demas que se jodan asi o mas claro,2.0,politica,1,0
yo no me alegro de esta fotome da mas bien tristeza que una venezolana que se hizo de una profesion digna como lo es el periodismo pase pena por su ideologia politica quiere ser politica que lo sea pero cubrirse en el periodismo para hacer politica eso no se hacepago por eso,5.0,politica,1,0
en venezuela los jueces no tienen libre alberdrio ahora si yo fuera juez te aseguro que lo declaro culpable no tengo dudas que es un corrupto y mosca si no esta incurso en lavado de dolares amigo en la politica venezolana no hay un hueso sano,2.0,politica,1,0
si el falsario y prostibulario superlandro tuviera un poquito de verguenza despues del vergonzoso incidente en la frontera colombovenezolana se hubiera retirado de la politica pero el tipo ahi sigue cero verguenza cero etica,2.0,politica,1,0
la realidad q la mayoria dl pueblo entendio es q hay algunos politicos para quienes la politica no es servir al pais sino todo locontrario servirse del pais manejando la politica como un gran negocio ellos en la crisis venezolana descubrieron la gallina d los huevos de oro,2.0,politica,1,0
mientras no rechacemos a esa parranda se corruptos hampones saqueadores de la vida politica venezolana seguiran ayudando a destruir a venezuela ellos son colaboradores del regimenque otra prueba le falta hay leer hay que indagar hay que informarse para no caer por inocente,2.0,politica,1,0
es cierto que no sirve para un caraj0 pero nos tiene con los pantalones abajo desde hace 10 anos nadie entiende como un conductor de autobus iletrado y reposero ha podido con los profesionales universitarios mas destacados de la politica venezolana o son igual de ineptos,2.0,politica,1,0
si regresas al tema te volveremos a leer no queremos que te alejes del principal problema de los que viven ahi la crisis politica venezolana yo deje de opinar de venezuela hace rato ya que la verdad no entiendo lo que pasa,5.0,politica,1,0
hola aurora lo dicho todos mis textosvideos buscan comunicar una sola idea el comunismo mata el castrochavismo mata lopezobrador mata morena mata lopez busca imponer una politica similar a la venezolana mexico ya sufre las consecuencias saludos,5.0,politica,1,0
el regimen no juega limpio imagino que habla de la clase politica venezolana en su totalidad porque ambos son la misma mierda como la que leopoldo castillo ha representado por anos,2.0,politica,1,0
bueno con el pelo color chicle cantando y las tetas al aire se logro mucho mas que tu con tus videos gritando y tu falsa politica quedaste en el olvido de la sociedad venezolana y ahora solo te limitas hacer tweets donde solo dejas claro tu ignorancia solo digo,2.0,politica,1,0
hace 67 anos en sabaneta de barinas nacio el hombre que cambiaria la historia politica venezolana del siglo 20 cuanto te extranamos comandante pero aca seguimos resistiendo los embates de los enemigos de nuestra revolucion,0.0,politica,1,0
la clasica foto de la miserable clase politica venezolana,2.0,politica,1,0
pase de ser opositora al chavismo a ser opositora de la politica venezolana en todo su esplendor,2.0,politica,1,0
quedaras manchado de por vida como traicionero y vende patria resultaron ser lo peor de la politica venezolana ya ni lastima dan,2.0,politica,1,0
cual sera ahora el cuento que james story le echara a la oposicion venezolana despues de reunirse con alguien que politicamente no reconoce el politica exterior los gringos tienen una historia larga de estupideces muy peligrosas,2.0,politica,1,0
partidos como pcv y otros forman parte de la miseria sociopolitica que ha sufrido vzla en todos estos anos siglo xx todo lo que va del siglo xxi y estan condenados a desaparecer y desdibujarse de la sociedad venezolana por incompetentes y falangistas de oficio,2.0,politica,1,0
